,id,finger,image_id,file_path,label,fold,features
0,032,L,1,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/032-M\032_L_1.png,0,1,"[0.11006316 0.01842406 0.00274286 0.02605113 0.00461353 0.01633684
 0.00182256 0.02033684 0.00457143 0.00652632 0.00380752 0.00776541
 0.00994286 0.00704962 0.00257444 0.00441504 0.00912481 0.00546165
 0.00649624 0.00919098 0.01245714 0.00615338 0.00354887 0.00545564
 0.00919699 0.01104361 0.00394586 0.00506466 0.01651128 0.01295639
 0.00292932 0.00295338 0.0113203  0.01651729 0.00229774 0.01112782
 0.0062797  0.02151579 0.00269474 0.00637594 0.00378346 0.00599699
 0.00982256 0.00649624 0.00463158 0.01079098 0.01035188 0.00662857
 0.00316992 0.00569624 0.01540451 0.01263759 0.01188571 0.00873383
 0.02073383 0.01435188 0.01023158 0.16798797 0.2230015  0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
1,032,L,2,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/032-M\032_L_2.png,0,1,"[0.11169925 0.02042105 0.00324211 0.02297143 0.00555188 0.01891128
 0.00175639 0.01606015 0.00439699 0.00617744 0.00414436 0.00739248
 0.01005113 0.0076391  0.00222556 0.00338045 0.00797594 0.00486617
 0.00546165 0.00943158 0.01454436 0.00675489 0.00291128 0.00456541
 0.00783158 0.0104782  0.00335639 0.00502256 0.02161203 0.01524812
 0.0028391  0.00247218 0.01146466 0.01436391 0.00192481 0.00977444
 0.00674887 0.02497444 0.00256241 0.0057985  0.00314586 0.00478195
 0.00822256 0.00630977 0.00526316 0.01026165 0.01119398 0.00734436
 0.00290526 0.00583459 0.01236692 0.01376842 0.01269173 0.01011729
 0.01739549 0.01651729 0.01157895 0.17115789 0.22013835 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
2,032,R,1,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/032-M\032_R_1.png,0,1,"[0.10864361 0.01945263 0.00339248 0.02715789 0.00484211 0.01629474
 0.00156992 0.01879098 0.00451128 0.00800602 0.00502857 0.00715188
 0.01119398 0.0075188  0.00211128 0.0025203  0.00899248 0.00795789
 0.00833083 0.01026165 0.0097203  0.00878797 0.00330827 0.00370526
 0.00643008 0.01155489 0.00652632 0.00661053 0.01381654 0.0149594
 0.00396391 0.00211128 0.00859549 0.01212632 0.00427669 0.01417744
 0.00793383 0.01802707 0.0046015  0.00618947 0.0028391  0.00377143
 0.00987068 0.00845113 0.00624962 0.01021353 0.0131188  0.00827068
 0.00264662 0.00479398 0.01350977 0.01342556 0.01261955 0.01006917
 0.02137143 0.01447218 0.00991278 0.16362707 0.21961504 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
3,032,R,2,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/032-M\032_R_2.png,0,1,"[0.11086917 0.01865263 0.00301955 0.03004511 0.00523308 0.01634887
 0.00146767 0.01969925 0.00432481 0.0064782  0.00481203 0.00729023
 0.01130827 0.00798195 0.00189474 0.0025203  0.00781353 0.00658647
 0.00729023 0.00962406 0.00974436 0.00834286 0.00345263 0.00345263
 0.00605113 0.00953383 0.00456541 0.00544361 0.01400902 0.01406316
 0.00364511 0.00214737 0.00830075 0.01110977 0.00357895 0.01252932
 0.00666466 0.01784662 0.00427068 0.00635188 0.00270677 0.00366316
 0.00921504 0.00747669 0.00542556 0.01048421 0.01356391 0.0080782
 0.00232782 0.00424662 0.01504361 0.01150075 0.01186767 0.00942556
 0.02406617 0.01486316 0.01044812 0.16837895 0.22885414 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
4,033,L,1,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/033-M\033_L_1.png,0,2,"[0.11385263 0.01611429 0.00233985 0.0295218  0.00497444 0.01689023
 0.00199699 0.02493835 0.00326015 0.00461353 0.00327218 0.0067609
 0.00935338 0.00696541 0.00285113 0.00469173 0.00758496 0.00388571
 0.00446917 0.00769323 0.01142857 0.00577444 0.00326015 0.00542556
 0.0088782  0.00967218 0.00313985 0.00313985 0.01694436 0.01293233
 0.00248421 0.00217744 0.01319098 0.01551278 0.00165414 0.00777744
 0.00519699 0.02054737 0.00255038 0.00560602 0.00379549 0.00664662
 0.00870376 0.00486015 0.00402406 0.00942556 0.01036992 0.00701353
 0.00336842 0.00610526 0.01943459 0.00980451 0.00993083 0.00806015
 0.02379549 0.01510977 0.0108391  0.1718797  0.23350977 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
5,033,L,2,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/033-M\033_L_2.png,0,2,"[0.11701053 0.01695038 0.00259248 0.03103759 0.00519699 0.01726917
 0.00153985 0.02343459 0.00348872 0.00493233 0.00342256 0.00676692
 0.01044812 0.00732632 0.00211729 0.00374737 0.00748872 0.00390376
 0.00434286 0.00718797 0.01064662 0.00566015 0.00275489 0.00408421
 0.00659248 0.00950977 0.00278496 0.00353684 0.01427368 0.01507368
 0.00200301 0.00205113 0.00845714 0.01190977 0.00170226 0.00794586
 0.00518496 0.01960301 0.00261053 0.00518496 0.0027609  0.00546165
 0.00828872 0.00528722 0.00428271 0.00944962 0.01138647 0.00693534
 0.00280902 0.00473985 0.01935038 0.00991278 0.01046617 0.00822256
 0.02516692 0.01517594 0.01090526 0.17735338 0.24027068 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
6,033,R,1,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/033-M\033_R_1.png,0,2,"[0.11779248 0.0182797  0.0021594  0.02553985 0.00511278 0.01917594
 0.00197895 0.02212331 0.00381353 0.00614737 0.00283308 0.00511278
 0.00955789 0.00760902 0.00265263 0.00358496 0.00828872 0.00493233
 0.00519098 0.0056782  0.01061053 0.00632782 0.00369925 0.00518496
 0.0064782  0.00875188 0.00356692 0.00320602 0.01291429 0.01405113
 0.00295338 0.00264662 0.00946165 0.01243308 0.00231579 0.0086797
 0.00450526 0.0191218  0.00271278 0.00667669 0.00349474 0.00576241
 0.00881805 0.00617143 0.00378346 0.00744662 0.01048421 0.00785564
 0.00364511 0.00617744 0.01756391 0.01229474 0.01126617 0.00746466
 0.02024662 0.01563308 0.01236692 0.17888722 0.23677594 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
7,033,R,2,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/033-M\033_R_2.png,0,2,"[0.11544662 0.01741955 0.00223759 0.02709774 0.00514286 0.01774436
 0.00201504 0.02308571 0.00395188 0.00599098 0.00298346 0.00553985
 0.0102797  0.00704361 0.00263459 0.00362105 0.00787368 0.00442105
 0.0047218  0.00662256 0.01218647 0.00637594 0.00312782 0.00476992
 0.00778947 0.00869173 0.00333233 0.00346466 0.01465263 0.01666165
 0.00236992 0.00210526 0.01027368 0.01459248 0.00214135 0.00888421
 0.00439699 0.02279699 0.00285714 0.0058406  0.00333835 0.00560602
 0.00842105 0.00577444 0.00368722 0.00813835 0.01178346 0.00721203
 0.00324211 0.00623158 0.01805714 0.01160301 0.01094737 0.0073985
 0.02113083 0.01560902 0.0113985  0.17536241 0.23187368 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
8,034,L,1,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/034-M\034_L_1.png,0,2,"[0.10306767 0.01541053 0.00294737 0.03058045 0.00490226 0.01538647
 0.00161805 0.02033684 0.0032782  0.00532932 0.00413835 0.00866767
 0.01145865 0.00717594 0.00239398 0.00398797 0.00835489 0.00481203
 0.0068812  0.00947368 0.01507368 0.00651429 0.0041985  0.00505865
 0.01263158 0.01343158 0.00415038 0.00566617 0.01793083 0.01805113
 0.00351278 0.00366316 0.01169323 0.02016842 0.00229173 0.0118015
 0.00657444 0.02549774 0.00317594 0.00740451 0.00346466 0.00601504
 0.00964211 0.00564211 0.00527519 0.01248722 0.01286617 0.00777143
 0.00292331 0.00516692 0.01631278 0.0096782  0.00972632 0.00908271
 0.02458346 0.01431579 0.01004511 0.15348571 0.21282406 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
9,034,L,2,../data/Data_FV_Spoofing_WS2025_26/IDIAP/full/dev/real/034-M\034_L_2.png,0,2,"[0.10594887 0.01532632 0.00286917 0.03182556 0.00465564 0.01541053
 0.00158195 0.02176241 0.00321805 0.00438496 0.00458346 0.00875789
 0.01073083 0.00697744 0.00243609 0.00457744 0.00741053 0.00395789
 0.0060391  0.00942556 0.0144     0.00623158 0.00430075 0.00497444
 0.01040602 0.01055038 0.0031218  0.0047218  0.01903158 0.01661353
 0.00329023 0.00316391 0.01362406 0.01760602 0.00200301 0.01043008
 0.00695338 0.02469774 0.0032782  0.00730827 0.00360902 0.00633985
 0.00840902 0.00464361 0.00495038 0.0119218  0.01270376 0.0075609
 0.00303759 0.00508271 0.01784662 0.00868571 0.00962406 0.00908872
 0.02505263 0.01386466 0.01016541 0.15829774 0.22052932 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]"
